Result of replaying M1.tpn on Process 12 (filtered on event attributes)

Index,Case IDs,NumOfCases,IsReliable,"Raw Fitness Cost Lo","Decomposed Sync-Move Numerator","Raw Fitness Cost Hi","Sync-Move Fitness","Raw Fitness Cost","Calculation Time (ms)","Max Move-Log Cost","Decomposed Sync-Move Fitness","Decomposed Sync-Move Denominator","Raw Fitness Perc Hi","Raw Fitness Cost Max","Raw Fitness Perc Lo",Match
14,"instance_202|instance_18",2,Yes,"28,00","6,00","28,00","0,60","28,00","3,00","80,00","0,60","10,00","0,75","112,00","0,75",[L/M]A|[L/M]C|[L/M]E|[M-REAL]G|[L]D|[L/M]H|[L/M]F|[M-REAL]D|[L]G|[L/M]B
15,"instance_288|instance_154",2,Yes,"14,00","7,00","14,00","0,78","14,00","1,00","80,00","0,78","9,00","0,88","112,00","0,88",[L/M]A|[L/M]C|[L]B|[L/M]E|[L/M]G|[L/M]H|[L/M]F|[L/M]D|[M-REAL]B
16,"instance_81|instance_266",2,Yes,"14,00","7,00","14,00","0,78","14,00","1,00","80,00","0,78","9,00","0,88","112,00","0,88",[L/M]A|[L/M]C|[L]F|[L/M]E|[L/M]G|[L/M]H|[M-REAL]F|[L/M]D|[L/M]B
17,"instance_375|instance_145",2,Yes,"14,00","7,00","14,00","0,78","14,00","1,00","80,00","0,78","9,00","0,88","112,00","0,88",[L]B|[L/M]A|[L/M]C|[L/M]E|[L/M]G|[L/M]H|[L/M]F|[L/M]D|[M-REAL]B
18,"instance_162|instance_42",2,Yes,"14,00","7,00","14,00","0,78","14,00","4,00","80,00","0,78","9,00","0,88","112,00","0,88",[L/M]A|[L/M]C|[L/M]E|[L/M]G|[L]F|[L/M]H|[M-REAL]F|[L/M]D|[L/M]B
19,"instance_105|instance_181",2,Yes,"14,00","7,00","14,00","0,78","14,00","1,00","80,00","0,78","9,00","0,88","112,00","0,88",[M-REAL]A|[L/M]C|[L]A|[L/M]E|[L/M]G|[L/M]H|[L/M]F|[L/M]D|[L/M]B
20,"instance_168",1,Yes,"116,00","31,00","116,00","0,57","116,00","104,00","340,00","0,57","54,00","0,69","372,00","0,69",[M-REAL]A|[L/M]C|[L/M]AA|[M-REAL]AC|[M-REAL]AD|[L]AH|[L/M]AF|[L/M]AE|[M-REAL]AC|[L/M]AJ|[L/M]AD|[M-REAL]AE|[L/M]AC|[M-REAL]AD|[M-REAL]AE|[M-REAL]AH|[L/M]AI|[L/M]AG|[L/M]AC|[L/M]AD|[M-REAL]AE|[L/M]AC|[M-REAL]AD|[L/M]AE|[M-REAL]AC|[L/M]AD|[L/M]AE|[L/M]AC|[L]D|[L/M]AD|[L]A|[L/M]AE|[L/M]AC|[M-REAL]AD|[L/M]AE|[M-REAL]AC|[M-REAL]AD|[L/M]AE|[L/M]AC|[L/M]AD|[M-REAL]AE|[M-REAL]AC|[L]B|[L/M]AD|[L/M]AE|[L/M]AC|[L/M]AD|[M-REAL]AE|[L/M]AC|[L/M]AD|[M-INVI]t29t27|[L/M]AB|[M-REAL]D|[M-REAL]B
21,"instance_383",1,Yes,"92,00","34,00","92,00","0,67","92,00","77,00","370,00","0,67","51,00","0,77","402,00","0,77",[L/M]A|[L]AC|[L/M]C|[L]AG|[L/M]AA|[L/M]AC|[M-REAL]AF|[L/M]AD|[L/M]AJ|[L]B|[L/M]AE|[L/M]AI|[L/M]AC|[L/M]AD|[L/M]AE|[L/M]AC|[M-REAL]AD|[M-REAL]AE|[L]AF|[L/M]AC|[M-REAL]AD|[L/M]AE|[M-REAL]AC|[M-REAL]AD|[L/M]AE|[M-REAL]AC|[L/M]AD|[M-REAL]AE|[M-REAL]AC|[L/M]AD|[L/M]AE|[L/M]AC|[L/M]AD|[L/M]AE|[L/M]AC|[L/M]AD|[L/M]AE|[L/M]AH|[M-REAL]AG|[L/M]AC|[L/M]AD|[M-REAL]AE|[L/M]AC|[L/M]AD|[L/M]AE|[M-REAL]AC|[L/M]AD|[M-INVI]t29t27|[L/M]AB|[L/M]D|[M-REAL]B
22,"instance_3",1,Yes,"78,00","35,00","78,00","0,70","78,00","64,00","370,00","0,70","50,00","0,81","402,00","0,81",[L/M]A|[L]AC|[L/M]C|[L/M]AA|[L/M]AC|[M-REAL]AD|[L/M]AE|[L/M]AF|[L/M]AJ|[L/M]AH|[L/M]AC|[M-REAL]AD|[L]AB|[L/M]AE|[L/M]AC|[L]AG|[L/M]AD|[L/M]AE|[M-REAL]AC|[L/M]AD|[L/M]AE|[L/M]AI|[L/M]AC|[L/M]AD|[L/M]AE|[L/M]AC|[L/M]AD|[L/M]AE|[M-REAL]AC|[M-REAL]AD|[L/M]AE|[L/M]AC|[L/M]AD|[L/M]AE|[L/M]AC|[L/M]AD|[M-REAL]AE|[M-REAL]AC|[L/M]AD|[M-REAL]AE|[M-REAL]AC|[L/M]AD|[M-REAL]AE|[L/M]AC|[L/M]AD|[M-INVI]t29t27|[M-REAL]AG|[M-REAL]AB|[L/M]D|[L/M]B
23,"instance_180",1,Yes,"106,00","30,00","106,00","0,61","106,00","61,00","340,00","0,61","49,00","0,72","372,00","0,72",[M-REAL]A|[L]AC|[L]AD|[L/M]C|[L/M]AA|[L/M]AC|[M-REAL]AD|[M-REAL]AE|[L/M]AC|[L/M]AF|[L/M]AD|[L/M]AH|[L/M]AJ|[L/M]AE|[L/M]AI|[L/M]AG|[L/M]AC|[M-REAL]AD|[M-REAL]AE|[L/M]AC|[M-REAL]AD|[M-REAL]AE|[L/M]AC|[L/M]AD|[L/M]AE|[M-REAL]AC|[L/M]AD|[L/M]AE|[M-REAL]AC|[M-REAL]AD|[L/M]AE|[M-REAL]AC|[L]A|[L/M]AD|[L/M]AE|[L/M]AC|[L/M]AD|[L/M]AE|[L/M]AC|[L/M]AD|[M-REAL]AE|[M-REAL]AC|[L]D|[L/M]AD|[M-INVI]t29t27|[L/M]AB|[M-REAL]D|[L]AE|[L/M]B
24,"instance_378",1,Yes,"48,00","35,00","48,00","0,74","48,00","63,00","340,00","0,74","47,00","0,87","372,00","0,87",[L/M]A|[L/M]C|[L/M]AA|[L/M]AF|[L/M]AC|[L/M]AI|[L/M]AD|[L/M]AH|[L/M]AJ|[L/M]AE|[L/M]AC|[M-REAL]AD|[M-REAL]AE|[L/M]AC|[L/M]AG|[L/M]AD|[M-REAL]AE|[M-REAL]AC|[L/M]AD|[L/M]AE|[L/M]AC|[M-REAL]AD|[L/M]AE|[L/M]AC|[L/M]AD|[L/M]AE|[L/M]AC|[L/M]AD|[L/M]AE|[M-REAL]AC|[L/M]AD|[L/M]AE|[M-REAL]AC|[L/M]AD|[M-REAL]AE|[M-REAL]AC|[L/M]AD|[L/M]AE|[L/M]AC|[M-REAL]AD|[M-REAL]AE|[L/M]AC|[M-REAL]AD|[M-INVI]t29t27|[L/M]AB|[L/M]D|[L/M]B
25,"instance_450",1,Yes,"64,00","33,00","64,00","0,72","64,00","30,00","340,00","0,72","46,00","0,83","372,00","0,83",[M-REAL]A|[L]AE|[L/M]C|[L/M]AA|[M-REAL]AC|[L/M]AF|[L/M]AD|[M-REAL]AE|[L/M]AC|[L/M]AD|[L/M]AJ|[L/M]AE|[L/M]AI|[L/M]AH|[L/M]AG|[L/M]AC|[L/M]AD|[M-REAL]AE|[M-REAL]AC|[L]A|[L/M]AD|[M-REAL]AE|[M-REAL]AC|[L/M]AD|[L/M]AE|[L/M]AC|[L/M]AD|[L/M]AE|[L/M]AC|[L/M]AD|[L/M]AE|[L/M]AC|[L/M]AD|[L/M]AE|[L/M]AC|[M-REAL]AD|[L/M]AE|[L/M]AC|[M-REAL]AD|[M-REAL]AE|[L/M]AC|[M-REAL]AD|[M-INVI]t29t27|[L/M]AB|[L/M]D|[L/M]B
26,"instance_382",1,Yes,"62,00","31,00","62,00","0,69","62,00","55,00","310,00","0,69","45,00","0,82","342,00","0,82",[L/M]A|[L/M]C|[L/M]AA|[L/M]AF|[L/M]AC|[M-REAL]AD|[L/M]AE|[M-REAL]AC|[L/M]AJ|[L/M]AH|[L/M]AI|[M-REAL]AD|[L/M]AE|[L/M]AC|[L/M]AG|[L/M]AD|[M-REAL]AE|[M-REAL]AC|[L/M]AD|[L/M]AE|[M-REAL]AC|[L/M]AD|[M-REAL]AE|[L/M]AC|[L/M]AD|[L/M]AE|[L/M]AC|[M-REAL]AD|[L/M]AE|[L/M]AC|[M-REAL]AD|[L/M]AE|[L/M]AC|[L/M]AD|[M-REAL]AE|[M-REAL]AC|[L/M]AD|[M-REAL]AE|[L/M]AC|[L/M]AD|[M-INVI]t29t27|[L/M]AB|[M-REAL]D|[L/M]B|[L]D
27,"instance_41",1,Yes,"76,00","27,00","76,00","0,63","76,00","57,00","280,00","0,63","43,00","0,76","312,00","0,76",[L/M]A|[L/M]C|[L/M]AA|[M-REAL]AC|[M-REAL]AD|[L/M]AE|[L/M]AC|[M-REAL]AD|[M-REAL]AE|[M-REAL]AF|[L/M]AH|[L/M]AC|[L/M]AD|[L/M]AE|[M-REAL]AC|[M-REAL]AJ|[L/M]AI|[L/M]AD|[L/M]AG|[M-REAL]AE|[M-REAL]AC|[L/M]AD|[M-REAL]AE|[L/M]AC|[M-REAL]AD|[M-REAL]AE|[L]AF|[L/M]AC|[L/M]AD|[L/M]AE|[L/M]AC|[M-REAL]AD|[L/M]AE|[L/M]AC|[L/M]AD|[L/M]AE|[M-REAL]AC|[L]AJ|[L/M]AD|[M-INVI]t29t27|[L/M]AB|[L/M]D|[L/M]B
28,"instance_68",1,Yes,"78,00","23,00","78,00","0,61","78,00","48,00","250,00","0,61","38,00","0,72","282,00","0,72",[L/M]A|[L/M]C|[L/M]AA|[L]AG|[L]AB|[L/M]AF|[L/M]AC|[L/M]AH|[L]D|[L/M]AD|[M-REAL]AE|[L/M]AC|[L/M]AD|[M-REAL]AE|[L/M]AC|[M-REAL]AD|[L/M]AE|[M-REAL]AC|[L/M]AI|[L/M]AD|[L/M]AE|[L/M]AC|[M-REAL]AD|[L/M]AE|[M-REAL]AC|[M-REAL]AD|[L/M]AE|[L/M]AC|[L/M]AD|[M-REAL]AE|[M-REAL]AC|[L/M]AD|[L/M]AJ|[M-REAL]AG|[M-INVI]t29t27|[M-REAL]AB|[M-REAL]D|[L/M]B
29,"instance_112",1,Yes,"64,00","24,00","64,00","0,65","64,00","41,00","250,00","0,65","37,00","0,77","282,00","0,77",[L/M]A|[L/M]C|[M-REAL]AA|[M-REAL]AC|[L/M]AD|[M-REAL]AE|[M-REAL]AC|[L/M]AD|[L/M]AF|[L/M]AE|[L/M]AC|[M-REAL]AD|[M-REAL]AE|[L/M]AH|[L/M]AI|[L/M]AC|[L/M]AJ|[M-REAL]AD|[L]AA|[L/M]AE|[L/M]AG|[L/M]AC|[L/M]AD|[L/M]AE|[M-REAL]AC|[L]AB|[L/M]AD|[L/M]AE|[L/M]AC|[L/M]AD|[M-REAL]AE|[L/M]AC|[M-REAL]AD|[M-INVI]t29t27|[M-REAL]AB|[L/M]D|[L/M]B
30,"instance_171",1,Yes,"80,00","22,00","80,00","0,61","80,00","39,00","250,00","0,61","36,00","0,72","282,00","0,72",[M-REAL]A|[M-REAL]C|[L]B|[L/M]AA|[M-REAL]AC|[L/M]AD|[M-REAL]AE|[M-REAL]AC|[L/M]AD|[L/M]AF|[M-REAL]AE|[L/M]AC|[M-REAL]AD|[L/M]AE|[L]C|[L/M]AI|[L/M]AJ|[L/M]AH|[L/M]AG|[L/M]AC|[L/M]AD|[L/M]AE|[L/M]AC|[L/M]AD|[L/M]AE|[L/M]AC|[L/M]AD|[L/M]AE|[L]D|[L/M]AC|[M-REAL]AD|[M-INVI]t29t27|[L/M]AB|[M-REAL]D|[M-REAL]B|[L]A
31,"instance_101",1,Yes,"50,00","25,00","50,00","0,69","50,00","28,00","250,00","0,69","36,00","0,82","282,00","0,82",[L/M]A|[L/M]C|[L/M]AA|[L/M]AF|[L/M]AC|[L/M]AH|[M-REAL]AD|[L/M]AE|[M-REAL]AC|[L/M]AJ|[L/M]AI|[L/M]AD|[L/M]AE|[M-REAL]AC|[M-REAL]AD|[L/M]AE|[L/M]AG|[L/M]AC|[L/M]AD|[M-REAL]AE|[L/M]AC|[M-REAL]AD|[M-REAL]AE|[L/M]AC|[L/M]AD|[L/M]AE|[M-REAL]AC|[L/M]AD|[M-REAL]AE|[L/M]AC|[M-REAL]AD|[M-INVI]t29t27|[L/M]AB|[L]AD|[L/M]D|[L/M]B
32,"instance_104",1,Yes,"80,00","22,00","80,00","0,61","80,00","60,00","250,00","0,61","36,00","0,72","282,00","0,72",[L/M]A|[M-REAL]C|[L]AD|[L]AC|[L/M]AA|[L/M]AF|[L/M]AC|[L/M]AD|[L/M]AI|[L/M]AH|[L/M]AJ|[L/M]AE|[M-REAL]AC|[M-REAL]AD|[L/M]AE|[M-REAL]AC|[L]C|[L/M]AD|[L]D|[L/M]AE|[L/M]AC|[M-REAL]AD|[M-REAL]AE|[L/M]AC|[L/M]AD|[L/M]AG|[M-REAL]AE|[M-REAL]AC|[L/M]AD|[L/M]AE|[L/M]AC|[M-REAL]AD|[M-INVI]t29t27|[L/M]AB|[M-REAL]D|[L/M]B
33,"instance_425",1,Yes,"92,00","19,00","92,00","0,53","92,00","34,00","220,00","0,53","36,00","0,63","252,00","0,63",[M-REAL]A|[L]AE|[L/M]C|[M-REAL]AA|[L/M]AC|[M-REAL]AD|[M-REAL]AE|[L/M]AC|[L/M]AF|[L/M]AJ|[M-REAL]AD|[M-REAL]AE|[L/M]AH|[L/M]AC|[M-REAL]AD|[L/M]AE|[L/M]AI|[M-REAL]AC|[L/M]AD|[M-REAL]AE|[M-REAL]AC|[L]AA|[L/M]AD|[M-REAL]AE|[M-REAL]AC|[L]D|[L/M]AD|[L/M]AE|[L/M]AC|[L/M]AD|[L]A|[L/M]AG|[M-INVI]t29t27|[L/M]AB|[M-REAL]D|[L/M]B
34,"instance_353",1,Yes,"80,00","22,00","80,00","0,61","80,00","46,00","250,00","0,61","36,00","0,72","282,00","0,72",[M-REAL]A|[L]AD|[L/M]C|[L/M]AA|[L]AI|[L/M]AC|[M-REAL]AD|[M-REAL]AE|[L/M]AF|[L/M]AC|[L/M]AD|[M-REAL]AE|[L/M]AH|[L/M]AC|[M-REAL]AD|[M-REAL]AI|[L/M]AE|[L]AG|[L/M]AC|[L/M]AD|[L/M]AE|[M-REAL]AC|[L/M]AD|[L/M]AJ|[L/M]AE|[M-REAL]AG|[M-REAL]AC|[L/M]AD|[L/M]AE|[L/M]AC|[M-REAL]AD|[M-INVI]t29t27|[L]A|[L/M]AB|[L/M]D|[L/M]B
35,"instance_359",1,Yes,"94,00","18,00","94,00","0,53","94,00","59,00","220,00","0,53","34,00","0,63","252,00","0,63",[M-REAL]A|[L]AD|[L/M]C|[L/M]AA|[L/M]AF|[L]B|[L/M]AC|[L/M]AD|[L/M]AJ|[L/M]AI|[L]D|[L/M]AE|[L/M]AH|[L/M]AC|[M-REAL]AD|[L/M]AE|[M-REAL]AC|[L/M]AD|[M-REAL]AE|[M-REAL]AC|[L/M]AD|[L/M]AE|[L/M]AC|[M-REAL]AD|[M-REAL]AE|[L]A|[L]AB|[L/M]AG|[L/M]AC|[M-REAL]AD|[M-INVI]t29t27|[M-REAL]AB|[M-REAL]D|[M-REAL]B
36,"instance_485",1,Yes,"40,00","27,00","40,00","0,79","40,00","27,00","280,00","0,79","34,00","0,87","312,00","0,87",[L/M]A|[L/M]C|[L]AE|[L/M]AA|[L/M]AC|[L/M]AF|[L/M]AD|[L/M]AJ|[L/M]AE|[L/M]AC|[M-REAL]AD|[M-REAL]AE|[L/M]AC|[L]AG|[L/M]AD|[L/M]AE|[L/M]AC|[L/M]AD|[L/M]AE|[L/M]AC|[L/M]AD|[L/M]AE|[L/M]AC|[L/M]AD|[L/M]AI|[L/M]AH|[M-REAL]AG|[M-REAL]AE|[M-REAL]AC|[L/M]AD|[M-INVI]t29t27|[L/M]AB|[L/M]D|[L/M]B
37,"instance_453",1,Yes,"64,00","21,00","64,00","0,62","64,00","67,00","220,00","0,62","34,00","0,75","252,00","0,75",[L/M]A|[L/M]C|[L/M]AA|[L/M]AC|[L/M]AF|[L/M]AH|[L]B|[L/M]AD|[M-REAL]AE|[L/M]AI|[M-REAL]AC|[L/M]AD|[M-REAL]AE|[M-REAL]AC|[L/M]AJ|[L/M]AG|[L/M]AD|[M-REAL]AE|[L/M]AC|[L/M]AD|[L/M]AE|[L/M]AC|[M-REAL]AD|[L/M]AE|[L/M]AC|[M-REAL]AD|[L/M]AE|[M-REAL]AC|[M-REAL]AD|[M-INVI]t29t27|[M-REAL]AB|[L/M]D|[M-REAL]B|[L]AB
38,"instance_50",1,Yes,"80,00","19,00","80,00","0,58","80,00","52,00","220,00","0,58","33,00","0,68","252,00","0,68",[L]AE|[L/M]A|[L/M]C|[L/M]AA|[M-REAL]AC|[L/M]AF|[L/M]AD|[M-REAL]AE|[M-REAL]AC|[L/M]AD|[L/M]AJ|[L/M]AE|[M-REAL]AH|[L/M]AI|[L/M]AG|[L]AH|[L/M]AC|[M-REAL]AD|[M-REAL]AE|[L/M]AC|[M-REAL]AD|[M-REAL]AE|[L/M]AC|[L/M]AD|[M-REAL]AE|[L]D|[L/M]AC|[L/M]AD|[M-INVI]t29t27|[L/M]AB|[M-REAL]D|[L]AE|[L/M]B
39,"instance_251",1,Yes,"80,00","19,00","80,00","0,58","80,00","43,00","220,00","0,58","33,00","0,68","252,00","0,68",[M-REAL]A|[L]AC|[L/M]C|[L]AJ|[L/M]AA|[L/M]AF|[L/M]AC|[L/M]AH|[L/M]AD|[M-REAL]AE|[M-REAL]AC|[M-REAL]AJ|[M-REAL]AI|[L/M]AD|[L/M]AE|[L/M]AG|[M-REAL]AC|[M-REAL]AD|[L/M]AE|[M-REAL]AC|[M-REAL]AD|[L]A|[L]AI|[L/M]AE|[L/M]AC|[L/M]AD|[M-REAL]AE|[L/M]AC|[L/M]AD|[M-INVI]t29t27|[L/M]AB|[L/M]D|[L/M]B
40,"instance_302",1,Yes,"52,00","21,00","52,00","0,68","52,00","20,00","220,00","0,68","31,00","0,79","252,00","0,79",[L/M]A|[L/M]C|[M-REAL]AA|[M-REAL]AF|[L/M]AI|[L/M]AC|[M-REAL]AD|[M-REAL]AE|[L]AF|[L/M]AC|[L]AA|[L/M]AH|[L/M]AJ|[L/M]AD|[M-REAL]AE|[M-REAL]AC|[L/M]AG|[L/M]AD|[L/M]AE|[M-REAL]AC|[L/M]AD|[L/M]AE|[L/M]AC|[M-REAL]AD|[L/M]AE|[L/M]AC|[L/M]AD|[M-INVI]t29t27|[L/M]AB|[L/M]D|[L/M]B
41,"instance_116",1,Yes,"40,00","24,00","40,00","0,77","40,00","31,00","250,00","0,77","31,00","0,86","282,00","0,86",[L/M]A|[L/M]C|[L/M]AA|[L/M]AC|[L/M]AF|[M-REAL]AD|[L/M]AH|[L]D|[L/M]AJ|[L/M]AI|[L/M]AE|[L/M]AC|[L]AB|[L/M]AG|[L/M]AD|[L/M]AE|[L/M]AC|[L/M]AD|[L/M]AE|[L/M]AC|[L/M]AD|[L/M]AE|[L/M]AC|[L/M]AD|[M-REAL]AE|[M-REAL]AC|[L/M]AD|[M-INVI]t29t27|[M-REAL]AB|[M-REAL]D|[L/M]B
42,"instance_75",1,Yes,"80,00","16,00","80,00","0,53","80,00","31,00","190,00","0,53","30,00","0,64","222,00","0,64",[L/M]A|[M-REAL]C|[L/M]AA|[L]C|[L/M]AC|[L]D|[L/M]AD|[M-REAL]AE|[M-REAL]AC|[L/M]AD|[L/M]AE|[M-REAL]AC|[M-REAL]AD|[M-REAL]AF|[L/M]AH|[L/M]AI|[L/M]AE|[L]AG|[L/M]AC|[L/M]AD|[L/M]AJ|[M-REAL]AE|[L/M]AC|[M-REAL]AD|[M-REAL]AG|[M-INVI]t29t27|[L/M]AB|[M-REAL]D|[L]AF|[L/M]B
43,"instance_373",1,Yes,"26,00","25,00","26,00","0,83","26,00","8,00","250,00","0,83","30,00","0,91","282,00","0,91",[L/M]A|[L/M]C|[L/M]AA|[L/M]AC|[M-REAL]AD|[M-REAL]AF|[L/M]AI|[M-REAL]AE|[L/M]AC|[L/M]AJ|[L/M]AD|[L/M]AH|[L/M]AE|[L/M]AG|[L/M]AC|[L/M]AD|[L/M]AE|[M-REAL]AC|[L/M]AD|[L/M]AE|[L/M]AC|[L/M]AD|[L/M]AE|[L]AF|[L/M]AC|[L/M]AD|[M-INVI]t29t27|[L/M]AB|[L/M]D|[L/M]B
44,"instance_345",1,Yes,"80,00","16,00","80,00","0,53","80,00","14,00","190,00","0,53","30,00","0,64","222,00","0,64",[M-REAL]A|[L]B|[L/M]C|[M-REAL]AA|[M-REAL]AC|[L]AG|[L/M]AF|[L]AA|[L/M]AI|[L/M]AJ|[L/M]AD|[M-REAL]AE|[L/M]AH|[L/M]AC|[M-REAL]AD|[L/M]AE|[M-REAL]AC|[L]A|[L/M]AD|[M-REAL]AG|[M-REAL]AE|[L/M]AC|[M-REAL]AD|[L/M]AE|[L/M]AC|[L/M]AD|[M-INVI]t29t27|[L/M]AB|[L/M]D|[M-REAL]B
45,"instance_328",1,Yes,"52,00","20,00","52,00","0,67","52,00","17,00","200,00","0,67","30,00","0,78","232,00","0,78",[L/M]A|[L/M]C|[L/M]E|[M-INVI]t4t8|[L/M]I|[L/M]J|[L/M]K|[L/M]I|[M-REAL]J|[L/M]K|[L]D|[L/M]I|[L]F|[L/M]J|[L/M]K|[L/M]I|[M-REAL]J|[L/M]K|[L/M]I|[L/M]J|[M-REAL]K|[M-REAL]I|[L/M]J|[M-REAL]K|[M-REAL]I|[L/M]J|[M-INVI]t9t5|[M-REAL]F|[M-REAL]D|[L/M]B
46,"instance_14",1,Yes,"80,00","16,00","80,00","0,53","80,00","32,00","190,00","0,53","30,00","0,64","222,00","0,64",[M-REAL]A|[M-REAL]C|[L/M]AA|[M-REAL]AF|[L]C|[L/M]AH|[M-REAL]AC|[L/M]AD|[M-REAL]AE|[L]A|[L/M]AC|[M-REAL]AD|[L/M]AJ|[L/M]AE|[L/M]AI|[L]AF|[L/M]AC|[L/M]AG|[M-REAL]AD|[L]AB|[L/M]AE|[L/M]AC|[L/M]AD|[M-REAL]AE|[M-REAL]AC|[L/M]AD|[M-INVI]t29t27|[M-REAL]AB|[L/M]D|[L/M]B
47,"instance_457",1,Yes,"38,00","22,00","38,00","0,73","38,00","19,00","220,00","0,73","30,00","0,85","252,00","0,85",[L/M]A|[L/M]C|[L/M]AA|[M-REAL]AC|[L/M]AF|[L]B|[L/M]AJ|[L/M]AH|[L/M]AD|[M-REAL]AE|[L/M]AC|[M-REAL]AD|[L/M]AE|[L/M]AI|[L/M]AG|[L/M]AC|[L/M]AD|[L/M]AE|[M-REAL]AC|[L/M]AD|[M-REAL]AE|[L/M]AC|[M-REAL]AD|[L/M]AE|[L/M]AC|[L/M]AD|[M-INVI]t29t27|[L/M]AB|[L/M]D|[M-REAL]B
